xtf_id,Date,Power,Inclination,Orientation,PlantCategory,ElectricityProductionPlantR
detail_113,2012-06-14,3.96,,,plantcat_8,11413
detail_114,2018-03-19,0.49,,,plantcat_9,11413
detail_115,2013-09-30,52,,,plantcat_9,18655
detail_116,2017-11-28,17.4,,,plantcat_8,18655
detail_117,2017-09-27,22.56,,,plantcat_9,12066
detail_118,2015-03-04,46.8,,,plantcat_8,18064
detail_119,2016-09-27,138,,,plantcat_8,18064
detail_120,2017-09-25,1.8,,,plantcat_9,9881
detail_121,2012-09-27,11.2,,,plantcat_9,12829
detail_122,2015-12-14,1.2,,,plantcat_8,11445
detail_123,2017-08-25,10.4,,,plantcat_9,12355
detail_124,2017-11-09,1.13,,,plantcat_9,11314
detail_125,2016-11-03,9.54,,,plantcat_8,12456
detail_126,2020-12-14,18.2,,,plantcat_9,18716
detail_127,2017-05-10,9.69,,,plantcat_8,9903
detail_128,2017-12-15,3,,,plantcat_9,10323
detail_129,2016-08-05,6.26,,,plantcat_8,18723
detail_130,2017-03-07,34,,,plantcat_9,18726
detail_131,2017-10-17,1.26,,,plantcat_9,11506
detail_132,2016-09-22,80.8,,,plantcat_8,18756
detail_133,2012-09-17,16.64,,,plantcat_8,18772
detail_134,2017-07-07,0.59,,,plantcat_9,10679
detail_135,2017-10-18,2.31,,,plantcat_9,10913
detail_136,2011-12-21,22.4,,,plantcat_9,11514
detail_137,2013-12-20,10.73,,,plantcat_9,11514
detail_138,2017-12-06,0.29,,,plantcat_9,11514
detail_139,2020-11-11,20.65,,,plantcat_8,18852
detail_140,2014-10-09,3.24,,,plantcat_8,26308
detail_141,2014-12-09,186.84,,,plantcat_8,13078
detail_142,2017-07-11,2.35,,,plantcat_9,13078
detail_143,2017-10-26,1.7,,,plantcat_9,9922
detail_144,2020-02-10,50,,,,9543
detail_145,2016-07-09,2.52,,,plantcat_8,26355
detail_146,2017-09-19,9.1,,,plantcat_8,11735
detail_147,2017-11-08,1.81,,,plantcat_9,10178
detail_148,2016-09-30,7.12,,,plantcat_9,15684
detail_149,2014-11-27,29.29,,,plantcat_8,10194
detail_150,2015-03-06,19.95,,,plantcat_8,10204
detail_151,2014-09-30,4.16,,,plantcat_8,12905
detail_152,2017-12-21,64.8,,,plantcat_8,26488
detail_153,2020-09-07,29.9,,,,9540
detail_154,2017-08-04,26.46,,,plantcat_9,11055
detail_155,2017-09-29,9.07,,,plantcat_9,10213
detail_156,2015-05-01,4.9,,,plantcat_8,16896
detail_157,2012-02-17,19.94,,,plantcat_8,16951
detail_158,2014-12-18,61.36,,,plantcat_8,16951
detail_159,2016-12-16,2.53,,,plantcat_8,16951
detail_160,2015-09-07,2.89,,,plantcat_9,10930
detail_161,2015-03-31,14.6,,,plantcat_8,17282
detail_162,2019-06-28,9.9,,,plantcat_9,17282
detail_163,2013-12-16,312.52,,,plantcat_8,17290
detail_164,2018-07-18,10,,,,12126
detail_165,2014-08-22,6.21,,,plantcat_8,12255
detail_166,2015-03-20,28.86,,,plantcat_9,17604
detail_167,2012-09-07,8,,,plantcat_8,10785
detail_168,2012-09-21,8,,,plantcat_8,10785
detail_169,2013-07-22,3.75,,,plantcat_8,10785
detail_170,2010-09-15,0.6,,,plantcat_8,10862
detail_171,2017-10-27,140.13,,,plantcat_9,17696
detail_172,2017-06-28,1.05,,,plantcat_9,12916
detail_173,2011-08-01,110,,,plantcat_8,17689
detail_174,2017-05-15,1.2,,,plantcat_8,11682
detail_175,2015-03-07,3,,,plantcat_8,17711
detail_176,2015-03-13,3.25,,,plantcat_8,10937
detail_177,2012-07-11,94.91,,,plantcat_8,12345
detail_178,2013-06-12,64.94,,,plantcat_8,12345
detail_179,2014-08-28,75.21,,,plantcat_8,12345
detail_180,2017-08-09,40.8,,,plantcat_8,12345
detail_181,2020-06-24,141.44,,,plantcat_8,12345
detail_182,2017-09-28,87,,,plantcat_9,10716
detail_183,2017-10-20,1.89,,,plantcat_9,17825
detail_184,2015-03-01,1.88,,,plantcat_8,17866
detail_185,2014-12-03,22.75,,,plantcat_8,12921
detail_186,2017-12-19,0.96,,,plantcat_9,12705
detail_187,2012-02-29,115.96,,,plantcat_8,18215
detail_188,2014-12-19,574.56,,,plantcat_8,18215
detail_189,2015-09-25,79.5,,,plantcat_8,18215
detail_190,2017-09-25,94.86,,,plantcat_8,18324
detail_191,2016-08-30,9.6,,,plantcat_9,26276
detail_192,2015-12-16,3.08,,,plantcat_9,12505
detail_193,2015-03-18,44,,,plantcat_9,18685
detail_194,2018-04-19,2.77,,,plantcat_9,18745
detail_195,2017-07-31,3.15,,,plantcat_9,18753
detail_196,2015-12-09,23.49,,,plantcat_8,12507
detail_197,2019-04-15,30,,,,14721
detail_198,2017-09-30,781.55,,,plantcat_8,18362
detail_199,2015-02-28,7.4,,,plantcat_8,10946
detail_200,2020-06-26,142,,,,14538
detail_201,2011-11-09,23.54,,,plantcat_8,18368
detail_202,2014-10-28,16.13,,,plantcat_8,18368
detail_203,2014-10-29,3.92,,,plantcat_8,18385
detail_204,2015-09-03,300.16,,,plantcat_8,11151
detail_205,2020-08-28,415.56,,,plantcat_8,11151
detail_206,2017-10-30,3.95,,,plantcat_9,19074
detail_207,2019-12-01,4.55,,,plantcat_8,11486
detail_208,2015-07-14,2.74,,,plantcat_9,19083
detail_209,2012-09-19,18.6,,,plantcat_8,12508
detail_210,2016-08-05,34.2,,,plantcat_8,12508
detail_211,2014-05-01,2.94,,,plantcat_8,12932
detail_212,2017-08-21,5.86,,,plantcat_9,11967
detail_213,2015-03-30,84,,,plantcat_8,19180
detail_214,2017-11-17,1.92,,,plantcat_9,19197
detail_215,2017-11-30,1.64,,,plantcat_9,19212
detail_216,2011-12-23,91.29,,,plantcat_8,19230
detail_217,2015-09-28,85.83,,,plantcat_8,19230
detail_218,2014-09-24,6.36,,,plantcat_8,19245
detail_219,2016-12-05,40.56,,,plantcat_8,10817
detail_220,2016-09-02,2.52,,,plantcat_9,19251
detail_221,2016-06-27,2.7,,,plantcat_8,19268
detail_222,2009-12-01,44.8,,,plantcat_8,19275
detail_223,2012-08-10,45.9,,,plantcat_9,18856
